Período,Categoría Ocupacional,Valor
43800,Empleo en casas particulares,498.145
43800,Trabajo Independientes Autónomos,405.024
43800,Trabajo Independientes Monotributo,1625.314
43800,"Trabajo Independientes Monotributo
Social",365.604
43800,Total,12163.844000000001
43831,Empleo asalariado en el sector privado,6021.939
43831,Empleo asalariado en el sector público,3195.502
43831,Empleo en casas particulares,500.379
43831,Trabajo Independientes Autónomos,404.715
43831,Trabajo Independientes Monotributo,1630.375
43831,"Trabajo Independientes Monotributo
Social",366.082
43831,Total,12118.992000000002
43862,Empleo asalariado en el sector privado,6028.392
43862,Empleo asalariado en el sector público,3186.023
43862,Empleo en casas particulares,500.126
43862,Trabajo Independientes Autónomos,399.039
43862,Trabajo Independientes Monotributo,1627.921
43862,"Trabajo Independientes Monotributo
Social",365.381
43862,Total,12106.882000000001
43891,Empleo asalariado en el sector privado,5994.42
43891,Empleo asalariado en el sector público,3186.373
43891,Empleo en casas particulares,498.034
43891,Trabajo Independientes Autónomos,388.963
43891,Trabajo Independientes Monotributo,1606.356
43891,"Trabajo Independientes Monotributo
Social",362.447
43891,Total,12036.592999999999
43922,Empleo asalariado en el sector privado,5836.865
43922,Empleo asalariado en el sector público,3190.561
43922,Empleo en casas particulares,490.546
43922,Trabajo Independientes Autónomos,380.214
43922,Trabajo Independientes Monotributo,1586.071
43922,"Trabajo Independientes Monotributo
Social",355.492
43922,Total,11839.749
43952,Empleo asalariado en el sector privado,5787.439
43952,Empleo asalariado en el sector público,3195.153
43952,Empleo en casas particulares,482.548
43952,Trabajo Independientes Autónomos,377.43
43952,Trabajo Independientes Monotributo,1551.608
43952,"Trabajo Independientes Monotributo
Social",352.847
43952,Total,11747.025000000001
43983,Empleo asalariado en el sector privado,5776.556
43983,Empleo asalariado en el sector público,3210.314
43983,Empleo en casas particulares,481.682
43983,Trabajo Independientes Autónomos,379.538
43983,Trabajo Independientes Monotributo,1569.694
43983,"Trabajo Independientes Monotributo
Social",350.222
43983,Total,11768.006
44013,Empleo asalariado en el sector privado,5768.547
44013,Empleo asalariado en el sector público,3199.241
44013,Empleo en casas particulares,482.142
44013,Trabajo Independientes Autónomos,391.736
44013,Trabajo Independientes Monotributo,1593.849
44013,"Trabajo Independientes Monotributo
Social",355.47
44013,Total,11790.985
44044,Empleo asalariado en el sector privado,5770.021
44044,Empleo asalariado en el sector público,3207.493
44044,Empleo en casas particulares,481.047
44044,Trabajo Independientes Autónomos,394.776
44044,Trabajo Independientes Monotributo,1625.234
44044,"Trabajo Independientes Monotributo
Social",352.064
44044,Total,11830.635
44075,Empleo asalariado en el sector privado,5780.89
44075,Empleo asalariado en el sector público,3211.527
44075,Empleo en casas particulares,479.774
44075,Trabajo Independientes Autónomos,394.4
44075,Trabajo Independientes Monotributo,1645.964
44075,"Trabajo Independientes Monotributo
Social",352.338
44075,Total,11864.893
44105,Empleo asalariado en el sector privado,5795.055
44105,Empleo asalariado en el sector público,3215.029
44105,Empleo en casas particulares,478.173
44105,Trabajo Independientes Autónomos,386.836
44105,Trabajo Independientes Monotributo,1665.129
44105,"Trabajo Independientes Monotributo
Social",353.12
44105,Total,11893.342000000002
44136,Empleo asalariado en el sector privado,5816.818
44136,Empleo asalariado en el sector público,3237.801
44136,Empleo en casas particulares,476.568
44136,Trabajo Independientes Autónomos,381.607
44136,Trabajo Independientes Monotributo,1652.335
44136,"Trabajo Independientes Monotributo
Social",354.306
44136,Total,11919.435000000001
44166,Empleo asalariado en el sector privado,5826.014
44166,Empleo asalariado en el sector público,3257.579
44166,Empleo en casas particulares,473.081
44166,Trabajo Independientes Autónomos,377.219
44166,Trabajo Independientes Monotributo,1645.718
44166,"Trabajo Independientes Monotributo
Social",353.201
44166,Total,11932.812000000002
44197,Empleo asalariado en el sector privado,5850.593
44197,Empleo asalariado en el sector público,3211.243
44197,Empleo en casas particulares,474.695
44197,Trabajo Independientes Autónomos,378.245
44197,Trabajo Independientes Monotributo,1648.911
44197,"Trabajo Independientes Monotributo
Social",358.673
44197,Total,11922.36
44228,Empleo asalariado en el sector privado,5872.011
44228,Empleo asalariado en el sector público,3215.865
44228,Empleo en casas particulares,473.307
44228,Trabajo Independientes Autónomos,379.2
44228,Trabajo Independientes Monotributo,1655.519
44228,"Trabajo Independientes Monotributo
Social",363.008
44228,Total,11958.910000000002
44256,Empleo asalariado en el sector privado,5907.382
44256,Empleo asalariado en el sector público,3229.345
44256,Empleo en casas particulares,473.135
44256,Trabajo Independientes Autónomos,377.416
44256,Trabajo Independientes Monotributo,1663.803
44256,"Trabajo Independientes Monotributo
Social",363.169
44256,Total,12014.249999999998
44287,Empleo asalariado en el sector privado,5895.112
44287,Empleo asalariado en el sector público,3246.771
44287,Empleo en casas particulares,475.161
44287,Trabajo Independientes Autónomos,377.496
44287,Trabajo Independientes Monotributo,1686.952
44287,"Trabajo Independientes Monotributo
Social",361.188
44287,Total,12042.679999999998
44317,Empleo asalariado en el sector privado,5869.969
44317,Empleo asalariado en el sector público,3270.698
44317,Empleo en casas particulares,475.863
44317,Trabajo Independientes Autónomos,377.689
44317,Trabajo Independientes Monotributo,1693.213
44317,"Trabajo Independientes Monotributo
Social",366.73
44317,Total,12054.161999999998
44348,Empleo asalariado en el sector privado,5869.182
44348,Empleo asalariado en el sector público,3293.56
44348,Empleo en casas particulares,474.108
44348,Trabajo Independientes Autónomos,377.522
44348,Trabajo Independientes Monotributo,1708.858
44348,"Trabajo Independientes Monotributo
Social",368.181
44348,Total,12091.411000000002
44378,Empleo asalariado en el sector privado,5876.034
44378,Empleo asalariado en el sector público,3287.465
44378,Empleo en casas particulares,474.213
44378,Trabajo Independientes Autónomos,377.905
44378,Trabajo Independientes Monotributo,1732.469
44378,"Trabajo Independientes Monotributo
Social",367.039
44378,Total,12115.125
44409,Empleo asalariado en el sector privado,5895.277
44409,Empleo asalariado en el sector público,3303.205
44409,Empleo en casas particulares,474.059
44409,Trabajo Independientes Autónomos,387.284
44409,Trabajo Independientes Monotributo,1736.687
44409,"Trabajo Independientes Monotributo
Social",394.486
44409,Total,12190.998
44440,Empleo asalariado en el sector privado,5916.087
44440,Empleo asalariado en el sector público,3314.079
44440,Empleo en casas particulares,473.374
44440,Trabajo Independientes Autónomos,388.724
44440,Trabajo Independientes Monotributo,1767.665
44440,"Trabajo Independientes Monotributo
Social",401.37
44440,Total,12261.299
44470,Empleo asalariado en el sector privado,5940.33
44470,Empleo asalariado en el sector público,3329.046
44470,Empleo en casas particulares,474.108
44470,Trabajo Independientes Autónomos,387.625
44470,Trabajo Independientes Monotributo,1785.084
44470,"Trabajo Independientes Monotributo
Social",398.016
44470,Total,12314.209
44501,Empleo asalariado en el sector privado,5988.541
44501,Empleo asalariado en el sector público,3345.096
44501,Empleo en casas particulares,473.279
44501,Trabajo Independientes Autónomos,385.97
44501,Trabajo Independientes Monotributo,1800.237
44501,"Trabajo Independientes Monotributo
Social",394.207
44501,Total,12387.33
44531,Empleo asalariado en el sector privado,6027.687
44531,Empleo asalariado en el sector público,3372.906
44531,Empleo en casas particulares,472.876
44531,Trabajo Independientes Autónomos,385.414
44531,Trabajo Independientes Monotributo,1769.927
44531,"Trabajo Independientes Monotributo
Social",440.046
44531,Total,12468.856000000002
44562,Empleo asalariado en el sector privado,6069.317
44562,Empleo asalariado en el sector público,3320.327
44562,Empleo en casas particulares,473.399
44562,Trabajo Independientes Autónomos,387.104
44562,Trabajo Independientes Monotributo,1777.073
44562,"Trabajo Independientes Monotributo
Social",439.562
44562,Total,12466.782
44593,Empleo asalariado en el sector privado,6095.135
44593,Empleo asalariado en el sector público,3311.745
44593,Empleo en casas particulares,472.501
44593,Trabajo Independientes Autónomos,387.661
44593,Trabajo Independientes Monotributo,1799.685
44593,"Trabajo Independientes Monotributo
Social",441.73
44593,Total,12508.457
44621,Empleo asalariado en el sector privado,6129.715
44621,Empleo asalariado en el sector público,3317.378
44621,Empleo en casas particulares,472.447
44621,Trabajo Independientes Autónomos,385.474
44621,Trabajo Independientes Monotributo,1818.827
44621,"Trabajo Independientes Monotributo
Social",438.318
44621,Total,12562.159
44652,Empleo asalariado en el sector privado,6110.171
44652,Empleo asalariado en el sector público,3333.896
44652,Empleo en casas particulares,473.143
44652,Trabajo Independientes Autónomos,387.236
44652,Trabajo Independientes Monotributo,1844.415
44652,"Trabajo Independientes Monotributo
Social",435.827
44652,Total,12584.688
may_22,Empleo asalariado en el sector privado,6117.962
may_22,Empleo asalariado en el sector público,3353.545
may_22,Empleo en casas particulares,473.34
may_22,Trabajo Independientes Autónomos,389.869
may_22,Trabajo Independientes Monotributo,1873.585
may_22,"Trabajo Independientes Monotributo
Social",432.428
may_22,Total,12640.729000000003
44713,Empleo asalariado en el sector privado,6134.032
44713,Empleo asalariado en el sector público,3381.302
44713,Empleo en casas particulares,471.356
44713,Trabajo Independientes Autónomos,392.511
44713,Trabajo Independientes Monotributo,1824.604
44713,"Trabajo Independientes Monotributo
Social",512.695
44713,Total,12716.5
44743,Empleo asalariado en el sector privado,6169.348
44743,Empleo asalariado en el sector público,3375.799
44743,Empleo en casas particulares,472.731
44743,Trabajo Independientes Autónomos,395.003
44743,Trabajo Independientes Monotributo,1862.02
44743,"Trabajo Independientes Monotributo
Social",509.084
44743,Total,12783.985000000002
44774,Empleo asalariado en el sector privado,6186.755
44774,Empleo asalariado en el sector público,3372.531
44774,Empleo en casas particulares,473.593
44774,Trabajo Independientes Autónomos,395.114
44774,Trabajo Independientes Monotributo,1899.632
44774,"Trabajo Independientes Monotributo
Social",503.226
44774,Total,12830.851
44805,Empleo asalariado en el sector privado,6210.839
44805,Empleo asalariado en el sector público,3381.981
44805,Empleo en casas particulares,473.809
44805,Trabajo Independientes Autónomos,394.795
44805,Trabajo Independientes Monotributo,1879.555
44805,"Trabajo Independientes Monotributo
Social",559.033
44805,Total,12900.011999999999
44835,Empleo asalariado en el sector privado,6236.623
44835,Empleo asalariado en el sector público,3387.399
44835,Empleo en casas particulares,471.865
44835,Trabajo Independientes Autónomos,394.303
44835,Trabajo Independientes Monotributo,1908.434
44835,"Trabajo Independientes Monotributo
Social",555.513
44835,Total,12954.136999999999
44866,Empleo asalariado en el sector privado,6278.154
44866,Empleo asalariado en el sector público,3405.218
44866,Empleo en casas particulares,469.777
44866,Trabajo Independientes Autónomos,394.795
44866,Trabajo Independientes Monotributo,1943.228
44866,"Trabajo Independientes Monotributo
Social",550.836
44866,Total,13042.007999999998
44896,Empleo asalariado en el sector privado,6296.204
44896,Empleo asalariado en el sector público,3422.983
44896,Empleo en casas particulares,467.724
44896,Trabajo Independientes Autónomos,396.459
44896,Trabajo Independientes Monotributo,1895.843
44896,"Trabajo Independientes Monotributo
Social",611.618
44896,Total,13090.831000000002
44927,Empleo asalariado en el sector privado,6333.404
44927,Empleo asalariado en el sector público,3382.838
44927,Empleo en casas particulares,468.228
44927,Trabajo Independientes Autónomos,400.308
44927,Trabajo Independientes Monotributo,1910.522
44927,"Trabajo Independientes Monotributo
Social",608.598
44927,Total,13103.898
44958,Empleo asalariado en el sector privado,6348.193
44958,Empleo asalariado en el sector público,3388.385
44958,Empleo en casas particulares,466.971
44958,Trabajo Independientes Autónomos,400.217
44958,Trabajo Independientes Monotributo,1920.933
44958,"Trabajo Independientes Monotributo
Social",603.94
44958,Total,13128.639000000001
44986,Empleo asalariado en el sector privado,6377.525
44986,Empleo asalariado en el sector público,3392.44
44986,Empleo en casas particulares,466.501
44986,Trabajo Independientes Autónomos,396.619
44986,Trabajo Independientes Monotributo,1920.406
44986,"Trabajo Independientes Monotributo
Social",602.117
44986,Total,13155.608000000002
45017,Empleo asalariado en el sector privado,6339.738
45017,Empleo asalariado en el sector público,3412.166
45017,Empleo en casas particulares,468.434
45017,Trabajo Independientes Autónomos,400.615
45017,Trabajo Independientes Monotributo,1926.381
45017,"Trabajo Independientes Monotributo
Social",602.716
45017,Total,13150.05
45047,Empleo asalariado en el sector privado,6347.788
45047,Empleo asalariado en el sector público,3437.853
45047,Empleo en casas particulares,467.262
45047,Trabajo Independientes Autónomos,402.501
45047,Trabajo Independientes Monotributo,1967.51
45047,"Trabajo Independientes Monotributo
Social",597.922
45047,Total,13220.836000000001
45078,Empleo asalariado en el sector privado,6353.117
45078,Empleo asalariado en el sector público,3467.521
45078,Empleo en casas particulares,466.392
45078,Trabajo Independientes Autónomos,405.217
45078,Trabajo Independientes Monotributo,1987.601
45078,"Trabajo Independientes Monotributo
Social",592.52
45078,Total,13272.368000000002
45108,Empleo asalariado en el sector privado,6374.49
45108,Empleo asalariado en el sector público,3458.262
45108,Empleo en casas particulares,468.005
45108,Trabajo Independientes Autónomos,408.111
45108,Trabajo Independientes Monotributo,1984.376
45108,"Trabajo Independientes Monotributo
Social",612.028
45108,Total,13305.272
45139,Empleo asalariado en el sector privado,6387.707
45139,Empleo asalariado en el sector público,3470.394
45139,Empleo en casas particulares,469.401
45139,Trabajo Independientes Autónomos,411.216
45139,Trabajo Independientes Monotributo,2017.037
45139,"Trabajo Independientes Monotributo
Social",594.985
45139,Total,13350.740000000002
45170,Empleo asalariado en el sector privado,6371.65
45170,Empleo asalariado en el sector público,3473.853
45170,Empleo en casas particulares,470.748
45170,Trabajo Independientes Autónomos,412.992
45170,Trabajo Independientes Monotributo,2010.057
45170,"Trabajo Independientes Monotributo
Social",623.271
45170,Total,13362.571000000002
45200,Empleo asalariado en el sector privado,6374.399
45200,Empleo asalariado en el sector público,3477.664
45200,Empleo en casas particulares,468.214
45200,Trabajo Independientes Autónomos,409.98
45200,Trabajo Independientes Monotributo,2042.447
45200,"Trabajo Independientes Monotributo
Social",605.915
45200,Total,13378.618999999999
45231,Empleo asalariado en el sector privado,6385.764
45231,Empleo asalariado en el sector público,3484.305
45231,Empleo en casas particulares,464.504
45231,Trabajo Independientes Autónomos,385.773
45231,Trabajo Independientes Monotributo,2037.762
45231,"Trabajo Independientes Monotributo
Social",634.72
45231,Total,13392.828
45261,Empleo asalariado en el sector privado,6379.12
45261,Empleo asalariado en el sector público,3508.444
45261,Empleo en casas particulares,460.704
45261,Trabajo Independientes Autónomos,382.87
45261,Trabajo Independientes Monotributo,2044.64
45261,"Trabajo Independientes Monotributo
Social",637.406
45261,Total,13413.184000000001
45292,Empleo asalariado en el sector privado,6363.884
45292,Empleo asalariado en el sector público,3425.858
45292,Empleo en casas particulares,459.191
45292,Trabajo Independientes Autónomos,386.345
45292,Trabajo Independientes Monotributo,2063.665
45292,"Trabajo Independientes Monotributo
Social",648.302
45292,Total,13347.244999999999
45323,Empleo asalariado en el sector privado,6337.933
45323,Empleo asalariado en el sector público,3420.5
45323,Empleo en casas particulares,456.458
45323,Trabajo Independientes Autónomos,412.213
45323,Trabajo Independientes Monotributo,2079.214
45323,"Trabajo Independientes Monotributo
Social",643.78
45323,Total,13350.098000000002
45352,Empleo asalariado en el sector privado,6306.24
45352,Empleo asalariado en el sector público,3415.569
45352,Empleo en casas particulares,454.499
45352,Trabajo Independientes Autónomos,413.42
45352,Trabajo Independientes Monotributo,2076.248
45352,"Trabajo Independientes Monotributo
Social",631.509
45352,Total,13297.484999999999
45383,Empleo asalariado en el sector privado,6257.276
45383,Empleo asalariado en el sector público,3420.333
45383,Empleo en casas particulares,452.94
45383,Trabajo Independientes Autónomos,415.966
45383,Trabajo Independientes Monotributo,2065.775
45383,"Trabajo Independientes Monotributo
Social",646.468
45383,Total,13258.758000000002
45413,Empleo asalariado en el sector privado,6227.879
45413,Empleo asalariado en el sector público,3424.916
45413,Empleo en casas particulares,450.316
45413,Trabajo Independientes Autónomos,412.883
45413,Trabajo Independientes Monotributo,2062.118
45413,"Trabajo Independientes Monotributo
Social",666.706
45413,Total,13244.818000000001
45444,Empleo asalariado en el sector privado,6197.991
45444,Empleo asalariado en el sector público,3443.355
45444,Empleo en casas particulares,449.595
45444,Trabajo Independientes Autónomos,412.13
45444,Trabajo Independientes Monotributo,2060.181
45444,"Trabajo Independientes Monotributo
Social",673.495
45444,Total,13236.747
45474,Empleo asalariado en el sector privado,6208.25
45474,Empleo asalariado en el sector público,3423.458
45474,Empleo en casas particulares,449.972
45474,Trabajo Independientes Autónomos,411.092
45474,Trabajo Independientes Monotributo,2074.906
45474,"Trabajo Independientes Monotributo
Social",675.959
45474,Total,13243.637
45505,Empleo asalariado en el sector privado,6211.381
45505,Empleo asalariado en el sector público,3421.939
45505,Empleo en casas particulares,451.805
45505,Trabajo Independientes Autónomos,410.093
45505,Trabajo Independientes Monotributo,2098.332
45505,"Trabajo Independientes Monotributo
Social",677.157
45505,Total,13270.707
45536,Empleo asalariado en el sector privado,6218.904
45536,Empleo asalariado en el sector público,3427.733
45536,Empleo en casas particulares,452.535
45536,Trabajo Independientes Autónomos,408.401
45536,Trabajo Independientes Monotributo,2095.417
45536,"Trabajo Independientes Monotributo
Social",678.385
45536,Total,13281.375
45566,Empleo asalariado en el sector privado,6245.643
45566,Empleo asalariado en el sector público,3429.609
45566,Empleo en casas particulares,450.731
45566,Trabajo Independientes Autónomos,403.391
45566,Trabajo Independientes Monotributo,2071.689
45566,"Trabajo Independientes Monotributo
Social",677.266
45566,Total,13278.329
45597,Empleo asalariado en el sector privado,6266.132
45597,Empleo asalariado en el sector público,3432.973
45597,Empleo en casas particulares,448.983
45597,Trabajo Independientes Autónomos,398.769
45597,Trabajo Independientes Monotributo,2062.188
45597,"Trabajo Independientes Monotributo
Social",672.106
45597,Total,13281.151
